label,Account type,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Savings type,Length of current employment,Instalment per cent,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Foreign Worker
1,1,18.0,4,2,1049.0,1,2,4,2,1,4,2,21.0,3,1,1,3,1,1
1,1,9.0,4,0,2799.0,1,3,2,3,1,2,1,36.0,3,1,2,3,2,1
1,2,12.0,2,9,841.0,2,4,2,2,1,4,1,23.0,3,1,1,2,1,1
1,1,12.0,4,0,2122.0,1,3,3,3,1,2,1,39.0,3,1,2,2,2,2
1,1,12.0,4,0,2171.0,1,3,4,3,1,4,2,38.0,1,2,2,2,1,2
1,1,10.0,4,0,2241.0,1,2,1,3,1,3,1,48.0,3,1,2,2,2,2
1,1,8.0,4,0,3398.0,1,4,1,3,1,4,1,39.0,3,2,2,2,1,2
1,1,6.0,4,0,1361.0,1,2,2,3,1,4,1,40.0,3,2,1,2,2,2
1,4,18.0,4,3,1098.0,1,1,4,2,1,4,3,64.5,3,2,2,1,1,1
1,2,24.0,2,3,3758.0,3,1,1,2,1,4,4,23.0,3,1,1,1,1,1
1,1,11.0,4,0,3905.0,1,3,2,3,1,2,1,36.0,3,1,2,3,2,1
1,1,30.0,4,1,6187.0,2,4,1,4,1,4,3,24.0,3,1,2,3,1,1
1,1,6.0,4,3,1957.0,1,4,1,2,1,4,3,31.0,3,2,1,3,1,1
1,2,42.0,3,10,7582.0,2,1,2,3,1,4,4,31.0,3,2,1,4,1,1
1,1,18.0,2,3,1936.0,5,4,2,4,1,4,3,23.0,3,1,2,2,1,1
1,1,6.0,2,3,2647.0,3,3,2,3,1,3,1,44.0,3,1,1,3,2,1
1,1,11.0,4,0,3939.0,1,3,1,3,1,2,1,40.0,3,2,2,2,2,1
1,2,18.0,2,3,3213.0,3,2,1,4,1,3,1,25.0,3,1,1,3,1,1
1,2,36.0,4,3,2337.0,1,5,4,3,1,4,1,36.0,3,2,1,3,1,1
1,4,11.0,4,0,7228.0,1,3,1,3,1,4,2,39.0,3,2,2,2,1,1
1,1,6.0,4,0,3676.0,1,3,1,3,1,3,1,37.0,3,1,3,3,2,1
1,2,12.0,4,0,3124.0,1,2,1,3,1,3,1,49.0,1,2,2,2,2,1
