user_id,loan_score,device_rating,data_quality,ltv_rate,bureau_score,total_tenure,months_active,savings_score,tx_score,usage_score,airtime_score,cluster
146245,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,
248802,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,
13873,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,
35230,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,
653322,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,
61550,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,
399240,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,
385139,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,
572500,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,
59826,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,
214707,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,
473056,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,
670733,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,
639023,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,
25411,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,
314003,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,
428118,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,
43332,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,
133995,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,
195504,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,
432850,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,
466348,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,
209977,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,
188756,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,
516160,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,
180889,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,
1882,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,
317057,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,
662210,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,
86810,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,
432124,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,
584176,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,
363214,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,
471161,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,
257225,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,
511336,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,
559762,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,
747176,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,
567610,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,
277569,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,
484214,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,
704800,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,
774368,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,
654310,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,
706675,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,
742835,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,
